"Source:","C:\Users\Acer\Desktop\Synth DIY\KiCad Designs\VCOs\Electric Druid VCDO1\Eurorack-Electric-Druid-VCDO1\Electric Druid VCDO1.kicad_sch"
"Date:","20/01/2024 2:25:17 pm"
"Tool:","Eeschema 7.0.9"
"Generator:","C:\Program Files\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","130"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","6","C1, C2, C3, C5, C6, C7","330pF","Device:C","DIYSynthMNL:C_Rect_L7.0mm_W2.0mm_P5.00mm_BigPads","~","","",""
"2","2","C4, C8","150pF","Device:C","DIYSynthMNL:C_Rect_L7.0mm_W2.0mm_P5.00mm_BigPads","~","","",""
"3","8","C9, C10, C11, C12, C21, C22, C23, C24","0.1uF","Device:C","DIYSynthMNL:C_Rect_L7.0mm_W2.0mm_P5.00mm_BigPads","~","","",""
"4","4","C13, C14, C16, C18","2.2uF","Device:C_Polarized","DIYSynthMNL:CP_Radial_D5.0mm_P2.50mm","~","","",""
"5","2","C15, C17","100nF","Device:C","DIYSynthMNL:C_Rect_L7.0mm_W2.0mm_P5.00mm_BigPads","~","","",""
"6","2","C19, C20","22uF","Device:C_Polarized","DIYSynthMNL:CP_Radial_D4.0mm_P1.50mm","~","","",""
"7","14","D1, D2, D3, D4, D5, D6, D7, D8, D9, D10, D11, D12, D13, D14","BAT42","Diode:BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf","","",""
"8","2","D15, D16","~","Device:D","DIYSynthMNL:D_DO-41_SOD81_P7.62mm_Horizontal_BigPads","~","","D","1=K 2=A"
"9","4","H1, H2, H3, H4","MountingHole_Pad","Mechanical:MountingHole_Pad","DIYSynthMNL:MountingHole_M3_Standoff_Pad","~","","",""
"10","1","J1","Conn_01x20_Pin","Connector:Conn_01x20_Pin","","~","","",""
"11","1","J2","Conn_01x20_Socket","Connector:Conn_01x20_Socket","","~","","",""
"12","1","J3","EuroPower_JST_3P","DIYSynthMNL:JST_Eurorack_power_3P","DIYSynthMNL:Eurorack_power_jst_3P","","","",""
"13","1","J4","EURO_PWR_16P","DIYSynthMNL:EURO_PWR_16_PIN","DIYSynthMNL:IDC-Header_2x08_P2.54mm_Vertical","","","",""
"14","1","J5","FM_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"15","1","J6","Note_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"16","1","J7","Main_osc_out","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"17","1","J8","Sub_osc_out","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"18","1","J9","WaveSel_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"19","1","J10","SubSel_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"20","1","J11","Bitcrush_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"21","1","J12","Glide_time_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"22","1","J13","Glide_on_off_CV_in","DIYSynthMNL:PJ3001F","DIYSynthMNL:AudioJack_3.5mm_long_pads","~","","",""
"23","1","Q1","2N3904","Transistor_BJT:2N3904","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/2N3903-D.PDF","","",""
"24","2","R1, R9","91K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"25","13","R2, R4, R8, R14, R15, R18, R20, R24, R28, R31, R34, R38, R41","100K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"26","7","R3, R17, R19, R33, R37, R40, R43","200K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"27","4","R5, R11, R25, R29","20K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"28","4","R6, R12, R26, R30","27K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"29","2","R7, R27","51K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"30","6","R10, R13, R21, R23, R36, R42","4K7","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"31","6","R16, R32, R47, R48, R49, R50","1K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"32","1","R22","180K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"33","2","R35, R51","10K","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"34","1","R39","1M","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
"35","1","R44","10k","Device:R","DIYSynthMNL:R_quarter_watt_L6.3mm_D2.5mm_P7.62mm","~","","",""
